Convert Id,Lead ID,Company ID,Customer ID,Deal ID,Lead Creation Date,Converted Time,Converted By Id
zcrm_1920545000000399043,zcrm_1920545000000397001,zcrm_1920545000000399025,zcrm_1920545000000399027,zcrm_1920545000000399029,2016-09-07 22:31:35,2016-09-08 14:22:38,zcrm_1920545000000240001
zcrm_1920545000000399063,zcrm_1920545000000393001,zcrm_1920545000000399045,zcrm_1920545000000399047,zcrm_1920545000000399049,2016-09-06 19:23:29,2016-09-08 14:26:01,zcrm_1920545000000240001
zcrm_1920545000000404031,zcrm_1920545000000404009,zcrm_1920545000000404013,zcrm_1920545000000404015,zcrm_1920545000000404017,2016-09-12 18:41:21,2016-09-12 19:41:54,zcrm_1920545000000240001
zcrm_1920545000000411023,zcrm_1920545000000411001,zcrm_1920545000000411005,zcrm_1920545000000411007,zcrm_1920545000000411009,2016-09-15 20:09:31,2016-09-15 21:11:18,zcrm_1920545000000366006
zcrm_1920545000000412029,zcrm_1920545000000412007,zcrm_1920545000000412011,zcrm_1920545000000412013,zcrm_1920545000000412015,2016-09-19 13:16:15,2016-09-19 14:33:50,zcrm_1920545000000366006
zcrm_1920545000000418023,zcrm_1920545000000418001,zcrm_1920545000000418005,zcrm_1920545000000418007,zcrm_1920545000000418009,2016-09-20 16:55:54,2016-09-20 17:56:20,zcrm_1920545000000240001
zcrm_1920545000000418047,zcrm_1920545000000418025,zcrm_1920545000000418029,zcrm_1920545000000418031,zcrm_1920545000000418033,2016-09-20 17:00:29,2016-09-20 18:00:54,zcrm_1920545000000240001
zcrm_1920545000000418071,zcrm_1920545000000418049,zcrm_1920545000000418053,zcrm_1920545000000418055,zcrm_1920545000000418057,2016-09-20 17:03:26,2016-09-20 18:03:50,zcrm_1920545000000240001
zcrm_1920545000000418095,zcrm_1920545000000418073,zcrm_1920545000000418077,zcrm_1920545000000418079,zcrm_1920545000000418081,2016-09-20 17:08:01,2016-09-20 18:08:24,zcrm_1920545000000240001
zcrm_1920545000000418119,zcrm_1920545000000418097,zcrm_1920545000000418101,zcrm_1920545000000418103,zcrm_1920545000000418105,2016-09-20 17:17:58,2016-09-20 18:18:39,zcrm_1920545000000240001
zcrm_1920545000000418143,zcrm_1920545000000418121,zcrm_1920545000000418125,zcrm_1920545000000418127,zcrm_1920545000000418129,2016-09-20 17:41:49,2016-09-20 18:42:19,zcrm_1920545000000240001
zcrm_1920545000000431033,zcrm_1920545000000431011,zcrm_1920545000000431015,zcrm_1920545000000431017,zcrm_1920545000000431019,2016-10-07 14:40:29,2016-10-07 15:43:23,zcrm_1920545000000240001
zcrm_1920545000000431057,zcrm_1920545000000431035,zcrm_1920545000000431039,zcrm_1920545000000431041,zcrm_1920545000000431043,2016-10-07 14:48:44,2016-10-07 15:49:15,zcrm_1920545000000240001
zcrm_1920545000000431083,zcrm_1920545000000431061,zcrm_1920545000000431065,zcrm_1920545000000431067,zcrm_1920545000000431069,2016-10-07 14:58:10,2016-10-07 15:59:07,zcrm_1920545000000240001
zcrm_1920545000000432015,zcrm_1920545000000432001,zcrm_1920545000000137027,zcrm_1920545000000137029,zcrm_1920545000000432005,2016-10-07 15:07:58,2016-10-07 16:08:51,zcrm_1920545000000240001
zcrm_1920545000000432031,zcrm_1920545000000432017,zcrm_1920545000000137027,zcrm_1920545000000137029,,2016-10-07 15:16:23,2016-10-07 16:16:48,zcrm_1920545000000240001
zcrm_1920545000000432047,zcrm_1920545000000432033,zcrm_1920545000000137027,zcrm_1920545000000137029,zcrm_1920545000000432037,2016-10-07 15:19:40,2016-10-07 16:20:03,zcrm_1920545000000240001
