Company_Name,Category,Address,Url,Latitude,Longitude,Territory
Extreme pride gym,Gym,"8JH3+336, Vishal Gaon, Gangtok, Sikkim 737101, India",https://www.google.co.kr/maps/place/Extreme+pride+gym/data=!4m5!3m4!1s0x39e6a540b5374c99:0x692b7107e337b208!8m2!3d27.3276562!4d88.6026284?authuser=0&hl=en&rclk=1,27.3276562,88.6026284,Sikkim
Muscle Hut Gym,Gym,"44RX+447, Sombaria, Sikkim 737121, India",https://www.google.co.kr/maps/place/Muscle+Hut+Gym/data=!4m5!3m4!1s0x39e5d58fda77e195:0xd28a575a2a33091a!8m2!3d27.1402792!4d88.1477878?authuser=0&hl=en&rclk=1,27.1402792,88.1477878,Sikkim
Cross Fit Zone GYM,Gym,"8JQF+6JP, Chandmari, Gangtok, Sikkim 737103, India",https://www.google.co.kr/maps/place/Cross+Fit+Zone+GYM/data=!4m5!3m4!1s0x39e6a59720febdcd:0x49cdf93f573b411b!8m2!3d27.3380844!4d88.6240795?authuser=0&hl=en&rclk=1,27.3380844,88.6240795,Sikkim
Titan Gym,Gym,"Sen building, Pani House Rd, Gangtok, India",https://www.google.co.kr/maps/place/Titan+Gym/data=!4m5!3m4!1s0x39e6a5c9ed6eeded:0xced0e27fbae4d6c6!8m2!3d27.3242147!4d88.6101138?authuser=0&hl=en&rclk=1,27.3242147,88.6101138,Sikkim
Student Recreation Centre,Gym,"5GJ2+MX5, Majitar, Sikkim 737136, India",https://www.google.co.kr/maps/place/Student+Recreation+Centre/data=!4m5!3m4!1s0x39e6a06c3dc44029:0x6c5993d74b5387d9!8m2!3d27.1816298!4d88.5024823?authuser=0&hl=en&rclk=1,27.1816298,88.5024823,Sikkim
TIME TO FITNESS GYM,Gym,"Harijan Rd, near bhotay dhara, Kalimpong, West Bengal 734301, India",https://www.google.co.kr/maps/place/TIME+TO+FITNESS+GYM/data=!4m5!3m4!1s0x39e4238b2615b26b:0x3e021592dfad4af1!8m2!3d27.0696015!4d88.4730941?authuser=0&hl=en&rclk=1,27.0696015,88.4730941,Sikkim
Sempemyoga,Yoga studio,"Bodhi Marg, Sungava, Gangtok, Sikkim 737101, India",https://www.google.co.kr/maps/place/Sempemyoga/data=!4m5!3m4!1s0x39e6a538c217cfcf:0xe65dd2969a6e7fed!8m2!3d27.3384786!4d88.6130203?authuser=0&hl=en&rclk=1,27.3384786,88.6130203,Sikkim
Ironmine Fitness,Fitness center,"Relli Rd, Deolo, Kalimpong, West Bengal 734301, India",https://www.google.co.kr/maps/place/Ironmine+Fitness/data=!4m5!3m4!1s0x39e422021d530cf3:0xc580a33f759d2226!8m2!3d27.0699325!4d88.4737644?authuser=0&hl=en&rclk=1,27.0699325,88.4737644,Sikkim
Iron Asylum,Gym,"Pakyong, Sikkim 737106, India",https://www.google.co.kr/maps/place/Iron+Asylum/data=!4m5!3m4!1s0x39e6a68ac9bfade9:0xe1317ba885ee05b!8m2!3d27.2375414!4d88.5938841?authuser=0&hl=en&rclk=1,27.2375414,88.5938841,Sikkim
Tashiding Fitness House,Gym,"87HP+3RP, Upper laso, Tashiding, Sikkim 737111, India",https://www.google.co.kr/maps/place/Tashiding+Fitness+House/data=!4m5!3m4!1s0x39e6858ca0bc3dc5:0x9b512e7537aae50f!8m2!3d27.3277196!4d88.2870679?authuser=0&hl=en&rclk=1,27.3277196,88.2870679,Sikkim
