Company_Name,Category,Address,Url,latitude,longtitude
Iron Paradise Gym,Gym,"Infront of Islamia College, Lalbagh, Lucknow, Uttar Pradesh 226001, India",https://www.google.co.kr/maps/place/Iron+Paradise+Gym/data=!4m5!3m4!1s0x399bfd7398d6ede5:0xc237207f5677d935!8m2!3d26.8511071!4d80.9487354?authuser=0&hl=en&rclk=1,26.8511071,80.9487354
Anytime Fitness,Gym,"metro station, Gaur Ganga, Hall No 1, GF, near vaishali, Sector 4, Vaishali, Uttar Pradesh 201010, India",https://www.google.co.kr/maps/place/Anytime+Fitness/data=!4m5!3m4!1s0x390cfada74a5a28b:0x9aeabe829864e9cd!8m2!3d28.6487753!4d77.3391876?authuser=0&hl=en&rclk=1,28.6487753,77.3391876
The Fitness Zone,Gym,"1/817, Sahara States Rd, Sector H, Sector I, Sector H, Jankipuram, Lucknow, Uttar Pradesh 226021, India",https://www.google.co.kr/maps/place/The+Fitness+Zone/data=!4m5!3m4!1s0x399957b0e23d8b97:0x80e87551c0d20cb1!8m2!3d26.914157!4d80.951271?authuser=0&hl=en&rclk=1,26.914157,80.951271
Energie Fitness India,Gym,"B-108, Mahanagar, Lucknow, Uttar Pradesh 226006, India",https://www.google.co.kr/maps/place/Energie+Fitness+India/data=!4m5!3m4!1s0x399bfdcc50067cf9:0x73bff950c525b27b!8m2!3d26.875907!4d80.957471?authuser=0&hl=en&rclk=1,26.875907,80.957471
The champion gym,Gym,"Sanskrit Pathshala Gali, Sewarhi, Uttar Pradesh 274406, India",https://www.google.co.kr/maps/place/The+champion+gym/data=!4m5!3m4!1s0x39939faa44099703:0x1636286ad0622601!8m2!3d26.7226709!4d84.2302509?authuser=0&hl=en&rclk=1,26.7226709,84.2302509
Fitness Pro The unisex gym,Gym,"Dipeka palace, 2nd floor, begum bagh, near meera medical store, 250001, India",https://www.google.co.kr/maps/place/Fitness+Pro+The+unisex+gym/data=!4m5!3m4!1s0x390c6561e3e52841:0x3ff17243e2eb9c80!8m2!3d28.9915189!4d77.7068279?authuser=0&hl=en&rclk=1,28.9915189,77.7068279
The Muscle Gym,Gym,"Agarwal Market, Aravali Marg, Sector 18, Indira Nagar, Lucknow, Uttar Pradesh 226016, India",https://www.google.co.kr/maps/place/The+Muscle+Gym/data=!4m5!3m4!1s0x399be2ad00f82cb3:0x405616ae2b4a994!8m2!3d26.876535!4d80.989771?authuser=0&hl=en&rclk=1,26.876535,80.989771
Aesthetic Fitness Center,Gym,"1, 102, near Bank Of India, Vardan Khand, Sector 1, Gomti Nagar, Lucknow, Uttar Pradesh 226010, India",https://www.google.co.kr/maps/place/Aesthetic+Fitness+Center/data=!4m5!3m4!1s0x399bfd3ea2313f9d:0x465216b9c67075fe!8m2!3d26.8376542!4d81.0029238?authuser=0&hl=en&rclk=1,26.8376542,81.0029238
Radhe Fitness,Gym,"274304, Munna Colony, Tulsi Nagar, Khushi Nagar, Padrauna, Uttar Pradesh 274304, India",https://www.google.co.kr/maps/place/Radhe+Fitness/data=!4m5!3m4!1s0x39938da8e175abdf:0x4120b409547e6c4c!8m2!3d26.8951968!4d83.9781353?authuser=0&hl=en&rclk=1,26.8951968,83.9781353
Infinity fitness only for ladies,Fitness center,"Roorkee Rd, Friends Colony, Saharan Pur, Rampuri, Muzaffarnagar, Uttar Pradesh 251001, India",https://www.google.co.kr/maps/place/Infinity+fitness+only+for+ladies/data=!4m5!3m4!1s0x390c1be93387098f:0x7ea851a6abea4be5!8m2!3d29.4859259!4d77.6965936?authuser=0&hl=en&rclk=1,29.4859259,77.6965936
