Company_Name,Category,Address,Url,latitude,longtitude
Bone and Body Clinic Goa,Physical therapy clinic,"263, Ponsulem, Canacona, Goa 403702, India",https://www.google.co.kr/maps/place/Bone+and+Body+Clinic+Goa/data=!4m5!3m4!1s0x3bbe5ab8d7ce63a3:0x1dd16a11e1d7a768!8m2!3d15.0015205!4d74.0470603?authuser=0&hl=en&rclk=1,15.0015205,74.0470603
Aumeo Clinic,Medical clinic,"105-Durga Chambers, 1st Floor - Above World of Titan, 001, 18th June Rd, near Bombay Bazaar, Panaji, Goa PIN 403, India",https://www.google.co.kr/maps/place/Aumeo+Clinic/data=!4m5!3m4!1s0x3bbfc08c31dae485:0xe3a9f4c2c43356b!8m2!3d15.4964075!4d73.823489?authuser=0&hl=en&rclk=1,15.4964075,73.823489
Dr.Pradeep Health Clinic,Medical clinic,"HQXC+J2P, Bouta Waddo, Assagao, Goa 403507, India",https://www.google.co.kr/maps/place/Dr.Pradeep+Health+Clinic/data=!4m5!3m4!1s0x3bbfebc9c637d7a5:0xf01d94f4461986c!8m2!3d15.5990758!4d73.7700699?authuser=0&hl=en&rclk=1,15.5990758,73.7700699
Good Shepherd Healthcare,Medical clinic,"218, Gera Imperium Grand, patto, near Krishnadas Shama State Central Library, Panaji, Goa 403001, India",https://www.google.co.kr/maps/place/Good+Shepherd+Healthcare/data=!4m5!3m4!1s0x3bbfc084e9148549:0x77e3d38e297dea!8m2!3d15.4950354!4d73.8337972?authuser=0&hl=en&rclk=1,15.4950354,73.8337972
Zuari Clinic,Medical clinic,"MPQ6+249, Arambol, Goa 403519, India",https://www.google.co.kr/maps/place/Zuari+Clinic/data=!4m5!3m4!1s0x3bbfefcf56d3f5c3:0x3d4a1be90ac7dde7!8m2!3d15.6875315!4d73.7103512?authuser=0&hl=en&rclk=1,15.6875315,73.7103512
Arya Clinic,Medical clinic,"Ag-5, Casa Immaculada, Opposite Chiky Chowky, Panaji, Panaji, Goa, 403001, India",https://www.google.co.kr/maps/place/Arya+Clinic/data=!4m5!3m4!1s0x3bbfc08e645c34e5:0xcf2eee9259425131!8m2!3d15.4955876!4d73.8251581?authuser=0&hl=en&rclk=1,15.4955876,73.8251581
Dr Belani's Blue Shield Medical Clinic,Walk-in clinic,"1st Floor, Crossroads Avenue, Commercial Plaza, Margao Bypass, Arlem, Margao, Goa 403602, India",https://www.google.co.kr/maps/place/Dr+Belani's+Blue+Shield+Medical+Clinic/data=!4m5!3m4!1s0x3bbfb17b059528d3:0x52c88bb6ac26be10!8m2!3d15.2962832!4d73.973726?authuser=0&hl=en&rclk=1,15.2962832,73.973726
St Joseph's Clinic,Medical clinic,"Piedada Building, Sao Jose de Areal, Goa 403709, India",https://www.google.co.kr/maps/place/St+Joseph's+Clinic/data=!4m5!3m4!1s0x3bbfb2662eece553:0xb49467dc242a3c77!8m2!3d15.2565607!4d74.009917?authuser=0&hl=en&rclk=1,15.2565607,74.009917
Sushrutzi Dr Dhulapkar's Hospital,Private hospital,"Ponda - Panaji Rd, behind Indian Overseas Bank, Carambolim, Corlim, Goa 403110, India",https://www.google.co.kr/maps/place/Sushrutzi+Dr+Dhulapkar's+Hospital/data=!4m5!3m4!1s0x3bbfbe9c46957c8f:0x9a3b499da4b42900!8m2!3d15.4972637!4d73.9320968?authuser=0&hl=en&rclk=1,15.4972637,73.9320968
Nirmal clinic,Medical clinic,"Chase Chamber, 2nd, Opp. Hotel Lapaz Gardens, Vaddem, Vasco da Gama, Goa 403802, India",https://www.google.co.kr/maps/place/Nirmal+clinic/data=!4m5!3m4!1s0x3bbfc74b399b769b:0x8880a4eead26d427!8m2!3d15.3975711!4d73.8143348?authuser=0&hl=en&rclk=1,15.3975711,73.8143348
