Customer ID,Deal ID,Role
zcrm_1920545000000260003,zcrm_1920545000000260005,Developer/Evaluator
zcrm_1920545000000264009,zcrm_1920545000000264011,Developer/Evaluator
zcrm_1920545000000288033,zcrm_1920545000000288035,Decision Maker
zcrm_1920545000000297007,zcrm_1920545000000297009,Product Management
zcrm_1920545000000297007,zcrm_1920545000007665289,Decision Maker
zcrm_1920545000000297007,zcrm_1920545000010946009,
zcrm_1920545000000301009,zcrm_1920545000000301011,Decision Maker
zcrm_1920545000000301033,zcrm_1920545000000301035,Decision Maker
zcrm_1920545000000304009,zcrm_1920545000000304011,Decision Maker
zcrm_1920545000000304033,zcrm_1920545000000304035,Decision Maker
zcrm_1920545000000311007,zcrm_1920545000000311009,Decision Maker
zcrm_1920545000000315007,zcrm_1920545000020548014,Decision Maker
zcrm_1920545000000315031,zcrm_1920545000000315033,Decision Maker
zcrm_1920545000000315055,zcrm_1920545000000315057,Decision Maker
zcrm_1920545000000315079,zcrm_1920545000000315081,Product Management
zcrm_1920545000000324007,zcrm_1920545000000324009,Product Management
zcrm_1920545000000324031,zcrm_1920545000000324033,Developer/Evaluator
zcrm_1920545000000324055,zcrm_1920545000000324057,Purchasing
zcrm_1920545000000324079,zcrm_1920545000000324081,Product Management
zcrm_1920545000000324103,zcrm_1920545000000324105,Decision Maker
zcrm_1920545000000324127,zcrm_1920545000000324129,Decision Maker
zcrm_1920545000000324151,zcrm_1920545000000324153,Product Management
zcrm_1920545000000352007,zcrm_1920545000000352009,Decision Maker
zcrm_1920545000000359015,zcrm_1920545000000359017,Decision Maker
zcrm_1920545000000359039,zcrm_1920545000000359041,Purchasing
zcrm_1920545000000359063,zcrm_1920545000000359065,Developer/Evaluator
zcrm_1920545000000365009,zcrm_1920545000000365011,Decision Maker
zcrm_1920545000000377007,zcrm_1920545000033205116,Purchasing
zcrm_1920545000000377075,zcrm_1920545000000377077,Decision Maker
zcrm_1920545000000377107,zcrm_1920545000000377109,Decision Maker
zcrm_1920545000000377107,zcrm_1920545000004613010,
zcrm_1920545000000377131,zcrm_1920545000000377133,Product Management
zcrm_1920545000000377155,zcrm_1920545000000377157,Decision Maker
zcrm_1920545000000392013,zcrm_1920545000000392015,Purchasing
zcrm_1920545000000392037,zcrm_1920545000000392039,Decision Maker
zcrm_1920545000000399027,zcrm_1920545000000399029,Purchasing
zcrm_1920545000000399047,zcrm_1920545000000399049,Decision Maker
zcrm_1920545000000404015,zcrm_1920545000000404017,Decision Maker
zcrm_1920545000000411007,zcrm_1920545000000411009,Executive Sponsor
zcrm_1920545000000412013,zcrm_1920545000000412015,Decision Maker
zcrm_1920545000000418007,zcrm_1920545000000418009,Decision Maker
zcrm_1920545000000418031,zcrm_1920545000000418033,Decision Maker
zcrm_1920545000000418055,zcrm_1920545000000418057,Decision Maker
zcrm_1920545000000418079,zcrm_1920545000000418081,Decision Maker
zcrm_1920545000000418103,zcrm_1920545000000418105,Purchasing
zcrm_1920545000000418103,zcrm_1920545000001054027,Purchasing
zcrm_1920545000000418103,zcrm_1920545000001054045,Purchasing
zcrm_1920545000000418127,zcrm_1920545000000418129,Decision Maker
zcrm_1920545000000431017,zcrm_1920545000000431019,Decision Maker
zcrm_1920545000000431041,zcrm_1920545000000431043,Purchasing
zcrm_1920545000000431067,zcrm_1920545000000431069,Decision Maker
zcrm_1920545000000432055,zcrm_1920545000000432057,Decision Maker
zcrm_1920545000000432079,zcrm_1920545000000432081,Decision Maker
zcrm_1920545000000432103,zcrm_1920545000000432105,Decision Maker
zcrm_1920545000000432127,zcrm_1920545000000432129,Decision Maker
zcrm_1920545000000432151,zcrm_1920545000000432153,Decision Maker
