Member Id,Campaign ID,Lead ID,Member Status
zcrm_1920545000017507165,zcrm_1920545000000738001,zcrm_1920545000000235023,Sent
zcrm_1920545000017507167,zcrm_1920545000000738001,zcrm_1920545000000235029,Sent
zcrm_1920545000017507169,zcrm_1920545000000738001,zcrm_1920545000000256013,Sent
zcrm_1920545000017507171,zcrm_1920545000000738001,zcrm_1920545000000258001,Clicked
zcrm_1920545000017507173,zcrm_1920545000000738001,zcrm_1920545000000259001,Clicked
zcrm_1920545000017507175,zcrm_1920545000000738001,zcrm_1920545000000260015,Bounced
zcrm_1920545000017507179,zcrm_1920545000000738001,zcrm_1920545000000261017,Sent
zcrm_1920545000017507181,zcrm_1920545000000738001,zcrm_1920545000000264017,Sent
zcrm_1920545000017507183,zcrm_1920545000000738001,zcrm_1920545000000264035,Bounced
zcrm_1920545000017507185,zcrm_1920545000000738001,zcrm_1920545000000271001,Sent
zcrm_1920545000017507187,zcrm_1920545000000738001,zcrm_1920545000000271017,Sent
zcrm_1920545000017507189,zcrm_1920545000000738001,zcrm_1920545000000271021,Opened
zcrm_1920545000017507191,zcrm_1920545000000738001,zcrm_1920545000000277009,Sent
zcrm_1920545000017507193,zcrm_1920545000000738001,zcrm_1920545000000278009,Sent
zcrm_1920545000017507195,zcrm_1920545000000738001,zcrm_1920545000000279005,Sent
zcrm_1920545000017507197,zcrm_1920545000000738001,zcrm_1920545000000281009,Sent
zcrm_1920545000017507199,zcrm_1920545000000738001,zcrm_1920545000000282005,Sent
zcrm_1920545000017507201,zcrm_1920545000000738001,zcrm_1920545000000290001,Bounced
zcrm_1920545000017507203,zcrm_1920545000000738001,zcrm_1920545000000292001,Sent
zcrm_1920545000017507205,zcrm_1920545000000738001,zcrm_1920545000000300001,Sent
zcrm_1920545000017507207,zcrm_1920545000000738001,zcrm_1920545000000305001,Sent
zcrm_1920545000017507209,zcrm_1920545000000738001,zcrm_1920545000000305005,Sent
zcrm_1920545000017507211,zcrm_1920545000000738001,zcrm_1920545000000312001,Bounced
zcrm_1920545000017507213,zcrm_1920545000000738001,zcrm_1920545000000313001,Bounced
zcrm_1920545000017507215,zcrm_1920545000000738001,zcrm_1920545000000314001,Sent
zcrm_1920545000017507217,zcrm_1920545000000738001,zcrm_1920545000000314005,Bounced
zcrm_1920545000017507225,zcrm_1920545000000738001,zcrm_1920545000000323003,Sent
zcrm_1920545000017507231,zcrm_1920545000000738001,zcrm_1920545000000326005,Sent
zcrm_1920545000017507235,zcrm_1920545000000738001,zcrm_1920545000000333001,Sent
zcrm_1920545000017507239,zcrm_1920545000000738001,zcrm_1920545000000336001,Bounced
zcrm_1920545000017507241,zcrm_1920545000000738001,zcrm_1920545000000336005,Sent
zcrm_1920545000017507243,zcrm_1920545000000738001,zcrm_1920545000000337001,Bounced
zcrm_1920545000017507247,zcrm_1920545000000738001,zcrm_1920545000000338005,Bounced
zcrm_1920545000017507249,zcrm_1920545000000738001,zcrm_1920545000000338013,Sent
zcrm_1920545000017507251,zcrm_1920545000000738001,zcrm_1920545000000338017,Bounced
zcrm_1920545000017507253,zcrm_1920545000000738001,zcrm_1920545000000339001,Opened
zcrm_1920545000017507255,zcrm_1920545000000738001,zcrm_1920545000000339005,Opened
zcrm_1920545000017507257,zcrm_1920545000000738001,zcrm_1920545000000340001,Bounced
zcrm_1920545000017507259,zcrm_1920545000000738001,zcrm_1920545000000341001,Bounced
zcrm_1920545000017507261,zcrm_1920545000000738001,zcrm_1920545000000341005,Sent
zcrm_1920545000017507263,zcrm_1920545000000738001,zcrm_1920545000000343001,Sent
zcrm_1920545000017507265,zcrm_1920545000000738001,zcrm_1920545000000353001,Sent
zcrm_1920545000017507267,zcrm_1920545000000738001,zcrm_1920545000000353005,Sent
zcrm_1920545000017507269,zcrm_1920545000000738001,zcrm_1920545000000354001,Sent
zcrm_1920545000017507271,zcrm_1920545000000738001,zcrm_1920545000000354005,Sent
zcrm_1920545000017507273,zcrm_1920545000000738001,zcrm_1920545000000354009,Bounced
zcrm_1920545000017507275,zcrm_1920545000000738001,zcrm_1920545000000354013,Bounced
zcrm_1920545000017507277,zcrm_1920545000000738001,zcrm_1920545000000355001,Bounced
zcrm_1920545000017507279,zcrm_1920545000000738001,zcrm_1920545000000380001,Sent
zcrm_1920545000017507283,zcrm_1920545000000738001,zcrm_1920545000000381002,Bounced
zcrm_1920545000017507289,zcrm_1920545000000738001,zcrm_1920545000000381014,Sent
zcrm_1920545000017507293,zcrm_1920545000000738001,zcrm_1920545000000381022,Sent
zcrm_1920545000017507299,zcrm_1920545000000738001,zcrm_1920545000000383001,Sent
zcrm_1920545000017507301,zcrm_1920545000000738001,zcrm_1920545000000383005,Bounced
zcrm_1920545000017507305,zcrm_1920545000000738001,zcrm_1920545000000383013,Opened
zcrm_1920545000017507307,zcrm_1920545000000738001,zcrm_1920545000000383021,Sent
