Company_Name,Category,Address,Url,Latitude,Longitude,State,Territory
Gracias Maternity Hospital,Hospital,"M Menezes Rd, near Police Station, Comba, Margao, Goa 403601, India",https://www.google.co.kr/maps/place/Gracias+Maternity+Hospital/data=!4m5!3m4!1s0x3bbfb3e9c143a8a7:0xf366bbcf0e22ed27!8m2!3d15.2737608!4d73.9564021?authuser=0&hl=en&rclk=1,15.2737608,73.9564021,Goa,West 1
Dr Madkaikar's CITY HOSPITAL,Hospital,"Ashirwad BLDG 1st floor, Isidorio Baptista Rd, opposite Meenaxi Hotel, Margao, Goa 403601, India",https://www.google.co.kr/maps/place/Dr+Madkaikar's+CITY+HOSPITAL/data=!4m5!3m4!1s0x3bbfb3e9c143a8a7:0x3a20ac2073d61295!8m2!3d15.2722927!4d73.9615183?authuser=0&hl=en&rclk=1,15.2722927,73.9615183,Goa,West 1
Kerkar Hospital,Hospital,"Martires Dias Rd, Near St. Sebastian Church, Aquem, Margao, Goa 403601, India",https://www.google.co.kr/maps/place/Kerkar+Hospital/data=!4m5!3m4!1s0x3bbfb3b35ba04b57:0x349642a7648221f5!8m2!3d15.2739438!4d73.9731708?authuser=0&hl=en&rclk=1,15.2739438,73.9731708,Goa,West 1
Vrundavan Hospital,Hospital,"Old Hwy, St Cruz, Goa 403202, India",https://www.google.co.kr/maps/place/Vrundavan+Hospital/data=!4m5!3m4!1s0x3bbfbf5f9efad249:0x9e6d0790ccf69599!8m2!3d15.4805753!4d73.8431561?authuser=0&hl=en&rclk=1,15.4805753,73.8431561,Goa,West 1
Urban Health Centre,Government hospital,"3, 18th June Rd, Altinho, Panaji, Goa 403001, India",https://www.google.co.kr/maps/place/Urban+Health+Centre/data=!4m5!3m4!1s0x3bbfc08e645c34e5:0xb2f44bb176e45c14!8m2!3d15.4978743!4d73.826349?authuser=0&hl=en&rclk=1,15.4978743,73.826349,Goa,West 1
INHS Jeevanti,Military hospital,"Mundvel, New Vaddem, Vasco da Gama, Goa 403802, India",https://www.google.co.kr/maps/place/INHS+Jeevanti/data=!4m5!3m4!1s0x3bbfc7987d52574d:0xfde66f62c04f9fd8!8m2!3d15.4047026!4d73.8191027?authuser=0&hl=en&rclk=1,15.4047026,73.8191027,Goa,West 1
Chikitisa Hospital,Hospital,"First Gate, Verna Industrial Estate, Verna, Goa 403722, India",https://www.google.co.kr/maps/place/Chikitisa+Hospital/data=!4m5!3m4!1s0x3bbfb0afc0c12cd7:0x53531b2d0eef7125!8m2!3d15.3762202!4d73.9271273?authuser=0&hl=en&rclk=1,15.3762202,73.9271273,Goa,West 1
"Ponda IVF Clinic, Infertility & Endoscopy Center, Kamat Nursing Home, Goa, India",Hospital,"Upper Bazaar, Shanti Nagar, Ponda, Goa 403401, India","https://www.google.co.kr/maps/place/Ponda+IVF+Clinic,+Infertility+%26+Endoscopy+Center,+Kamat+Nursing+Home,+Goa,+India/data=!4m5!3m4!1s0x3bbfbabe8dc91e49:0x12d42f0f6de51491!8m2!3d15.4001348!4d74.0098581?authuser=0&hl=en&rclk=1",15.4001348,74.0098581,Goa,West 1
Dr. Ajit Kamat Hospital,Hospital,"FRP6+WWQ, Miramar, Panaji, Goa 403001, India",https://www.google.co.kr/maps/place/Dr.+Ajit+Kamat+Hospital/data=!4m5!3m4!1s0x3bbfc0eea7da957b:0x4cd031f8289e1d83!8m2!3d15.4873263!4d73.8123657?authuser=0&hl=en&rclk=1,15.4873263,73.8123657,Goa,West 1
Dr. Antonio Pinto do Rosario Hospital,Hospital,"Dr Pinto Do Rosario Hospital, Alto Porvorim, Porvorim, Goa 403521, India",https://www.google.co.kr/maps/place/Dr.+Antonio+Pinto+do+Rosario+Hospital/data=!4m5!3m4!1s0x3bbfc07140000001:0x5fc08584dae0c582!8m2!3d15.5495144!4d73.818219?authuser=0&hl=en&rclk=1,15.5495144,73.818219,Goa,West 1
