,Year,Month,Client,Region,Category,Net,Industry Fin
125,2018,January,Springbay Bath Water Pvt. Ltd.,North,Hospitality,406250.0,Private Enterprise
126,2018,January,Force Fitness India Pvt Ltd,South,Fitness ,12946.43,Fitness
127,2018,February,Umesh Kumar Singh,South,Amazon,0.0,Others_etc
128,2018,February,Fitness First Noida,North,Fitness ,12200.0,Fitness
129,2018,February,Pramod Kumar,North,Amazon,0.0,Others_etc
130,2018,February,Clara Healtonation Pvt Ltd,West 1,Wellness,10714.28,Others_Others Corporate
131,2018,February,Shraddha Gadit,West 1,Convention,714.28,Others_Individual
132,2018,February,Sagar,West 1,Convention,714.28,Public Association
133,2018,February,Satish Adepu,West 1,Convention,714.28,Others_Individual
134,2018,February,Vaishali,West 1,Convention,714.28,Others_etc
135,2018,February,Holy Trinity Venture ,South,Medical,3571.42,Hospital
136,2018,February,ATHLETICA FITNESS LLP,West 2,Fitness ,568750.0,Fitness
137,2018,February,Neha Sewani,West 2,Convention,892.86,Others_etc
138,2018,February,Befastfit Gym,North,Fitness ,401780.4,Fitness
139,2018,February,World Gym,West 1,Fitness ,2232.14,Fitness
140,2018,February,AAHAR,West 1,Nutrition,446428.58,Clinic
141,2018,February,Talwalkars Health Complex,West 1,Fitness ,13046.42,Fitness
142,2018,February,Golds Gym ,North,Fitness ,4639.83,Fitness
143,2018,February,Mission Helath Physiotherapy Centre,West 2,Medical,5487.83,Hospital
144,2018,March,C B P DEVELOPERS,West 2,Corporate,245531.43,Others_Others Corporate
145,2018,March,Inspire Gym,West 1,Fitness ,30625.0,Fitness
146,2018,March,Vibes Healthcare Limited,East,Wellness,348242.29,Others_Aesthetic
147,2018,March,Gold Gym Greater Noida,North,Fitness ,12945.57,Fitness
148,2018,March,JAYPEE HEALTHCARE LTD.,North,Wellness,12946.43,Hospital
149,2018,March,Rage India Fitness,South,Fitness ,419642.86,Fitness
150,2018,March,Swan Genx Projects Private Limited,North,Corporate,1205355.43,Others_Others Corporate
151,2018,March,Dr.Bansi Saboo,West 2,Medical,375026.79,Hospital
152,2018,March,Vibes Healthcare Limited,South,Wellness,348214.28,Others_Aesthetic
153,2018,March,Balaji Fitness Health Club Pvt. Ltd.,North,Fitness ,410615.71,Fitness
154,2018,March,Aryanbagga Associates Pvt Ltd,North,Corporate,410704.0,Fitness
155,2018,March,Lodhi hotel,North,Hospitality,396420.0,Private Enterprise
156,2018,March,F2 Fun & Fitness India Pvt.Ltd.,West 1,Fitness ,8919.64,Fitness
157,2018,March,Mr. Vikram,South,Home Health,17947.27,Others_Individual
158,2018,March,Nikhil Tari Bodybuilding and Fitness Clinic,West 1,Fitness ,410687.5,Fitness
159,2018,March,Anytime Fitness Jangpura,North,Fitness ,12200.0,Fitness
160,2018,March,Gympac Fitness Systems Pvt Ltd,South,Fitness ,348214.29,Fitness
161,2018,March,Purna Chandra Naik,East,Amazon,1250.0,Others_etc
162,2018,April,Jammu Hospital,North,Medical,0.0,Hospital
163,2018,April,Tarun Gambhir,North,Amazon,1071.43,Others_etc
164,2018,April,Mr. Zaman,Overseas,Fitness ,329285.72,Fitness
165,2018,April,Fifth Gear Fitness,West 2,Fitness ,1785.71,Fitness
166,2018,April,Dr. Manoj Jadhav,West 2,Amazon,1071.43,Others_etc
167,2018,April,VELLA PRIVATE ISLAND MALDIVES,Overseas,Hospitality,1300100.0,Private Enterprise
168,2018,April,Ameya Fitness Zone,West 1,Fitness ,174107.14,Fitness
169,2018,April,Mr.Uttam Kumar,North,Amazon,1071.43,Others_etc
170,2018,April,Manju Malik,North,Amazon,1071.43,Others_etc
171,2018,April,Mr. Ramesh Mummana,South,Amazon,1071.43,Others_etc
172,2018,April,Dr. Shivnarayan Tyagi,North,Amazon,1071.43,Others_etc
173,2018,April,Mr. Divyansh ,North,Amazon,1071.43,Others_etc
174,2018,April,Angel Wellness Pvt Ltd,West 1,Wellness,20535.72,Others_Aesthetic
175,2018,April,ASIAN BARIATICS(Service machine),West 2,Medical,22321.43,Hospital
176,2018,April,Amida Fitness Center,West 1,Fitness ,377232.14,Fitness
177,2018,April,Silver Sports Club,West 1,Fitness ,366071.42,Fitness
178,2018,April,Mr . Rohan Pusalkar,West 1,Amazon,0.0,Others_etc
179,2018,April,BANERJIDA FIVE LOTUS RESORTS PVT.LTD,West 1,Hospitality,491071.0,Private Enterprise
180,2018,April,R S Wellness,North,Wellness,0.0,Fitness
181,2018,April,InBody India,West 1,,0.0,Others_etc
182,2018,April,VS Hospital,South,Medical,495625.0,Hospital
183,2018,April,Jaguar Fitness,South,Fitness ,406250.0,Fitness
184,2018,April,Chillies N Lemon Infra & Hospitality LLP,North,Hospitality,205314.29,Private Enterprise
185,2018,April,Physio Fit KEI Industries,North,Fitness ,409500.0,Fitness
186,2018,April,AKJ ENTERPRISES PRIVATE LIMITED,North,Corporate,409500.0,Fitness
187,2018,April,Shri Siddhivinayak Wellness LLP,West 1,Corporate,205410.72,Fitness
188,2018,April,Be Fit Be Healthy ,West 1,Fitness ,181250.0,Fitness
189,2018,April,InBody europe B V,Overseas,Corporate,17216.32,Others_etc
190,2018,April,Yaduvanshi Fitness Club Pvt. Ltd.,North,Fitness ,401798.21,Fitness
191,2018,May,Ravissant Gym,North,Fitness ,247500.0,Fitness
192,2018,May,Grey Hounds (OPC) Pvt Ltd,South,Government,968750.0,Public Association
193,2018,May,Abhimanyu Munjal,North,Amazon,17911.61,Others_etc
194,2018,May,NCR Foundation,South,Corporate,937500.0,Hospital
195,2018,May, Salvem Health Pvt Ltd,West 1,Medical,181250.0,Hospital
196,2018,May, VLCC HEALTH CARE LTD ,South,Wellness,46348.71,Others_Aesthetic
197,2018,May,91 Fitness,West 2,Fitness ,379464.29,Fitness
198,2018,May,NE Infra,East,Corporate,400446.43,Others_Others Corporate
199,2018,May,Road to fitness,East,Fitness ,178660.71,Fitness
200,2018,May,DPO's NETT COLLEGE OF PHYSIOTHERAPY,West 1,Medical,178560.72,Hospital
201,2018,May,Knockout Fitness Pvt Ltd,East,Fitness ,34900.0,Fitness
202,2018,May,Garuda Vriddhi Wellness Pvt.Ltd.,South,Wellness,380133.93,Fitness
203,2018,May,Moveza Fitness pvt.ltd,South,Fitness ,500000.0,Fitness
204,2018,May,SSK Gym Chisel,East,Fitness ,437500.0,Fitness
205,2018,May,TRIM SLIM BODY PRIVATE LIMITED,West 1,Fitness ,401250.0,Fitness
206,2018,May,Ghoongharwala sushila,North,Amazon,1071.42,Others_etc
207,2018,May,Sreeram Sairam Iyer,West 1,Amazon,1071.42,Others_etc
208,2018,May,Procter & Gamble Home Products Pvt.Ltd.,South,Corporate,410704.0,Private Enterprise
209,2018,May,Khanna Hotels Pvt Ltd,West 1,Hospitality,243750.0,Private Enterprise
210,2018,May,major (Dr.) tilak raj takhtar bds,East,Medical,399464.71,Hospital
211,2018,May,Mr. Shrutesh Reddy,South,Amazon,17839.28,Others_etc
212,2018,May,A2S Fitness,North,Fitness ,395531.43,Fitness
213,2018,May,Everyday Fitness,North,Fitness ,348156.43,Fitness
214,2018,May,Quorum Club LLP,North,Fitness ,396500.0,Fitness
215,2018,May,Star International (Anytime Fitness),North,Fitness ,205650.0,Fitness
216,2018,May,JP Fitness,West 1,Fitness ,366055.36,Fitness
217,2018,May,24-7 Universal Health Club,West 2,Fitness ,14999.99,Fitness
218,2018,May,Major Dr.Tilak Raj Takhtar ,East,Medical,0.0,Hospital
219,2018,May,PLANET 9 FITNESS CENTRE (INDIA) PVT LTD,West 1,Fitness ,374941.08,Fitness
220,2018,June,VLCC Health Care Limited,North,Wellness,14375.0,Others_Aesthetic
221,2018,June,Star International( Anytime Fitness),North,Fitness  ,0.0,Fitness
222,2018,June,Mr. Prateek,North,Amazon,17839.29,Others_etc
223,2018,June,Transformers,West 1,Fitness  ,177241.08,Fitness
224,2018,June,Martin,South,Fitness ,377232.14,Fitness
225,2018,June,PLANET 9 FITNESS CENTRE (INDIA) PVT LTD,West 1,Fitness ,4464.28,Fitness
226,2018,June,National Institute of Nutrition,South,Research,1160714.29,Public Association
227,2018,June,Chetan Lathar,North,Fitness,180803.57,Fitness
228,2018,June,Boost Events,West 1,Corporate,30000.0,Private Enterprise
229,2018,June,SAMARA GYM,West 1,Fitness ,1252678.58,Fitness
230,2018,June,Amanbi Sayed,South,Amazon,1071.43,Others_etc
231,2018,June,Arwinder Sindhu,North,Amazon,1071.43,Others_etc
232,2018,June,Avinash Kapur,West 1,Amazon,1071.43,Others_etc
233,2018,June,Abhishek Peri,South,Amazon,1071.43,Others_etc
234,2018,June,Alok Mishra,North,Amazon,1071.43,Others_etc
235,2018,June,Ashish Dua,North,Amazon,1071.43,Others_etc
236,2018,June,Christo Yohanan,South,Amazon,1071.43,Others_etc
237,2018,June,Dhawal,West 1,Amazon,1071.43,Others_etc
238,2018,June,Dhruv Kattarya,South,Amazon,1071.43,Others_etc
239,2018,June,Dr. Srinathan Natagatna,South,Amazon,1071.43,Others_etc
240,2018,June,Dr. Smita Chudhar,West 1,Amazon,1071.43,Others_etc
241,2018,June,Food Corporation of India,North,Amazon,1142.86,Others_etc
242,2018,June,Jayant Mishra,West 1,Amazon,1071.43,Others_etc
243,2018,June,Jignesh Dhomse,West 2,Amazon,1071.43,Others_etc
244,2018,June,Kulwant Singh,North,Amazon,1071.43,Others_etc
245,2018,June,Lakhavir Singh,North,Amazon,1071.43,Others_etc
246,2018,June,Nakul Jain,North,Amazon,1071.43,Others_etc
247,2018,June,Naveen Kumar,North,Amazon,1071.43,Others_etc
248,2018,June,Nipun Mittal,North,Amazon,1071.43,Others_etc
249,2018,June,Prakash Vinod Bhat,East,Amazon,1071.43,Others_etc
250,2018,June,Pravin K Amin,West 1,Amazon,1071.43,Others_etc
251,2018,June,Ravinder Yadav,North,Amazon,1071.43,Others_etc
252,2018,June,Team Core Fitness,North,Fitness ,179107.14,Fitness
253,2018,June,Nobesity Healthcare LLP,West 2,Wellness,401862.5,Clinic
254,2018,June,Radiant Fitness,East,Fitness ,491071.0,Fitness
255,2018,June,Nineleaps Technology Solutions Pvt.Ltd,South,Corporate,419642.86,Others_Others Corporate
256,2018,June,Endolife Speciality Hosp Pvt ltd,South,Medical,208928.57,Hospital
257,2018,June,Kartik Associates,South,Corporate,147321.43,Others_Others Corporate
258,2018,June,Meghana Rao,South,Personal ,17839.29,Others_Individual
259,2018,June,Sweta's Holistic Nutrition,West 1,Nutrition,164970.0,Clinic
260,2018,June,Fitness First Mega Mall,West 1,Fitness,10892.86,Fitness
261,2018,June,Aambika Enterprises(BodyPower Nutrition),West 1,Nutrition,357136.22,Clinic
262,2018,June,Balin Gyms Pvt. Ltd.,North,Fitness,503750.0,Fitness
263,2018,June,Apollo Spectra (Kailash Colony),North,Corporate,6000.0,Hospital
264,2018,June,S V Wellness,North,Wellness,410800.0,Others_Aesthetic
265,2018,June,Classic Fitness,North,Fitness,268450.0,Fitness
266,2018,June,Onyx Enterprises,West 2,Corporate,379460.0,Others_Others Corporate
267,2018,June,Lotus Fitness Club,South,Fitness,464285.71,Fitness
268,2018,June,Zeba khan,West 1,Amazon,17839.28,Others_etc
269,2018,June,Kronos Fitness,West 1,Fitness,7142.86,Fitness
270,2018,June,Vijaya diagnostic- Vishakhapatnam,South,Wellness,334821.43,Clinic
271,2018,June,Vijaya diagnostic- Hyderabad,South,Wellness,669642.86,Clinic
272,2018,June,Vijaya diagnostic- Hyderabad,South,Wellness,0.0,Clinic
273,2018,June,Mumbai Cricket Association,West 1,Governement,30625.0,Public Association
274,2018,June,i gymholic gym,West 2,Fitness,178593.75,Fitness
275,2018,June,MULTIFIT WELLNESS PVT.LTD.- Pune,West 1,Wellness,334821.0,Fitness
276,2018,June,Vijaya diagnostic- Gurgaon,North,Wellness,334821.43,Clinic
277,2018,June,MULTIFIT WELLNESS PVT.LTD.-BANGALORE,South,Wellness,334821.43,Fitness
278,2018,June,VFIT Consultants,South,Fitness,25400.0,Fitness
279,2018,July,Swan Genx Projects Pvt Ltd,North,Corporate,31250.0,Others_Others Corporate
280,2018,July,Fitness First India Pvt Ltd,West 1,Fitness,20000.0,Fitness
281,2018,July,Talwalkar's Health Club,West 1,Fitness,348214.28,Fitness
282,2018,July,Ms. Arati Mandre,West 1,Amazon,17839.28,Others_etc
283,2018,July,Veda Fitness,West 1,Fitness,4464.28,Fitness
284,2018,July,Fitness First Platinum,West 1,Fitness,6870.46,Fitness
285,2018,July,Ozone Club Rohtak,North,Fitness,12946.43,Fitness
286,2018,July,Planet 9 Fitness Centre India Pvt Ltd,West 1,Fitness,2232.14,Fitness
287,2018,July,Nikhil Shankar Mathur,North,Amazon,17839.29,Others_etc
288,2018,July,VO2 Fitness & Institute,West 2,Fitness,160714.29,Fitness
289,2018,July,Telerad RXDX Healthcare Pvt Ltd,South,Wellness,406250.0,Others_Aesthetic
290,2018,July,Vijaya Diagnostic Bangalore,South,Wellness,334821.43,Clinic
291,2018,July,Nikhil Shankar Mathur,North,Amazon,17839.29,Others_etc
292,2018,July,RNFS Fitness & Spa Centre,East,Fitness,12950.0,Fitness
293,2018,July,Rajput Enterprises,East,Corporate,714287.21,Others_Others Corporate
294,2018,July,Nutricia International Pvt Ltd,West 1,Corporate,465687.42,Others_Others Corporate
295,2018,July,Meenakshi Multitrade Pvt Ltd,West 1,Corporate,410673.22,Others_Others Corporate
296,2018,July,Cipla,West 1,Pharma,401785.72,Private Enterprise
297,2018,July,Hero Motocorp Ltd,West 2,Pharma,424112.08,Private Enterprise
298,2018,July,Positive training personal Existance Pvt Ltd,West 1,Corporate,401785.72,Others_Others Corporate
299,2018,July,Dr.Anita Merani,West 1,Amazon,17839.28,Others_etc
300,2018,July,Youngsang Yoo Anna,North,Amazon,17839.28,Others_etc
301,2018,July,Pranutan Bahi,West 1,Amazon,17839.28,Others_etc
