Member Id,Campaign ID,Customer ID,Member Status
zcrm_1920545000018729779,zcrm_1920545000012080061,zcrm_1920545000018729769,Planned
zcrm_1920545000018729794,zcrm_1920545000012080061,zcrm_1920545000018729784,Planned
zcrm_1920545000018729809,zcrm_1920545000012080061,zcrm_1920545000018729799,Planned
zcrm_1920545000018729824,zcrm_1920545000012080061,zcrm_1920545000018729814,Planned
zcrm_1920545000018729839,zcrm_1920545000012080061,zcrm_1920545000018729829,Planned
zcrm_1920545000018729854,zcrm_1920545000012080061,zcrm_1920545000018729844,Planned
zcrm_1920545000018729875,zcrm_1920545000012080061,zcrm_1920545000018729865,Planned
zcrm_1920545000018729890,zcrm_1920545000012080061,zcrm_1920545000018729880,Planned
zcrm_1920545000018729905,zcrm_1920545000012080061,zcrm_1920545000018729895,Planned
zcrm_1920545000018729926,zcrm_1920545000012080061,zcrm_1920545000018729916,Planned
zcrm_1920545000018729941,zcrm_1920545000012080061,zcrm_1920545000018729931,Planned
zcrm_1920545000018729956,zcrm_1920545000012080061,zcrm_1920545000018729946,Planned
zcrm_1920545000018729971,zcrm_1920545000012080061,zcrm_1920545000018729961,Planned
zcrm_1920545000018729986,zcrm_1920545000012080061,zcrm_1920545000018729976,Planned
zcrm_1920545000018737011,zcrm_1920545000012080061,zcrm_1920545000018737001,Planned
zcrm_1920545000018737026,zcrm_1920545000012080061,zcrm_1920545000018737016,Planned
zcrm_1920545000018737041,zcrm_1920545000012080061,zcrm_1920545000018737031,Planned
zcrm_1920545000018737056,zcrm_1920545000012080061,zcrm_1920545000018737046,Planned
zcrm_1920545000018737071,zcrm_1920545000012080061,zcrm_1920545000018737061,Planned
zcrm_1920545000018737086,zcrm_1920545000012080061,zcrm_1920545000018737076,Planned
zcrm_1920545000018737101,zcrm_1920545000012080061,zcrm_1920545000018737091,Planned
zcrm_1920545000018737116,zcrm_1920545000012080061,zcrm_1920545000018737106,Planned
zcrm_1920545000018737131,zcrm_1920545000012080061,zcrm_1920545000018737121,Planned
zcrm_1920545000018737146,zcrm_1920545000012080061,zcrm_1920545000018737136,Planned
zcrm_1920545000018737161,zcrm_1920545000012080061,zcrm_1920545000018737151,Planned
zcrm_1920545000018737176,zcrm_1920545000012080061,zcrm_1920545000018737166,Planned
zcrm_1920545000018737191,zcrm_1920545000012080061,zcrm_1920545000018737181,Planned
zcrm_1920545000018737206,zcrm_1920545000012080061,zcrm_1920545000018737196,Planned
zcrm_1920545000018737221,zcrm_1920545000012080061,zcrm_1920545000018737211,Planned
zcrm_1920545000018737236,zcrm_1920545000012080061,zcrm_1920545000018737226,Planned
zcrm_1920545000018737261,zcrm_1920545000012080061,zcrm_1920545000018737251,Planned
zcrm_1920545000018737286,zcrm_1920545000012080061,zcrm_1920545000018737276,Planned
zcrm_1920545000018737301,zcrm_1920545000012080061,zcrm_1920545000018737291,Planned
zcrm_1920545000018737316,zcrm_1920545000012080061,zcrm_1920545000018737306,Planned
zcrm_1920545000018737331,zcrm_1920545000012080061,zcrm_1920545000018737321,Planned
zcrm_1920545000018737346,zcrm_1920545000012080061,zcrm_1920545000018737336,Planned
zcrm_1920545000018737361,zcrm_1920545000012080061,zcrm_1920545000018737351,Planned
zcrm_1920545000018737376,zcrm_1920545000012080061,zcrm_1920545000018737366,Planned
zcrm_1920545000018737391,zcrm_1920545000012080061,zcrm_1920545000018737381,Planned
