Record Id,Year,Quarter,Forecast Name,Forecast Owner ID,Commit Amount,Best Case Amount,Start Date,End Date,Created by ID,Modified by ID,Created Time,Modified Time,Currency,Exchange Rate,Target,Territory,Parent Forecast,Target excluding child,Target achieved excluding child,Target achieved percentage excluding child,Pipeline excluding child,Target Achieved,Target Achieved Percentage,Deal Pipeline,Last Computed Time,Target Achieved Count,Pipeline Count
zcrm_1920545000036210023,2021,2,Q2-2021,zcrm_1920545000001670001,0.0,0.0,2021-04-01,2021-06-30,zcrm_1920545000016756022,zcrm_1920545000016756022,2021-04-02 19:41:22,2021-04-02 19:41:22,INR,1.000000000,4750000.0,1920545000011572075,true,4750000.0,2119464.0,44.6,1099500.0,2119464.0,44.6,1099500.0,2021-07-12 07:02:06,10,13
zcrm_1920545000036210025,2021,2,Q2-2021,zcrm_1920545000000097003,0.0,0.0,2021-04-01,2021-06-30,zcrm_1920545000016756022,zcrm_1920545000016756022,2021-04-02 19:41:22,2021-04-02 19:41:22,INR,1.000000000,,1920545000011572075,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-07-12 07:02:06,0,0
zcrm_1920545000036210027,2021,2,Q2-2021,zcrm_1920545000001670001,0.0,0.0,2021-04-01,2021-06-30,zcrm_1920545000016756022,zcrm_1920545000016756022,2021-04-02 19:41:22,2021-04-02 19:41:22,INR,1.000000000,0.0,1920545000011572075,false,0.0,0.0,0.0,0.0,1196313.0,0.0,0.0,2021-07-12 07:02:06,5,5
zcrm_1920545000036210029,2021,2,Q2-2021,zcrm_1920545000001530001,0.0,0.0,2021-04-01,2021-06-30,zcrm_1920545000016756022,zcrm_1920545000016756022,2021-04-02 19:41:22,2021-04-02 19:41:22,INR,1.000000000,3000000.0,1920545000022219003,true,3000000.0,2169859.0,72.3,34000.0,2169859.0,72.3,34000.0,2021-07-12 07:02:06,6,1
zcrm_1920545000036210031,2021,2,Q2-2021,zcrm_1920545000001530001,0.0,0.0,2021-04-01,2021-06-30,zcrm_1920545000016756022,zcrm_1920545000016756022,2021-04-02 19:41:22,2021-04-02 19:41:22,INR,1.000000000,0.0,1920545000022219003,false,0.0,0.0,0.0,0.0,2169859.0,0.0,34000.0,2021-07-12 07:02:06,6,1
zcrm_1920545000039246001,2021,3,Q3-2021,zcrm_1920545000000097003,0.0,0.0,2021-07-01,2021-09-30,zcrm_1920545000000097003,zcrm_1920545000000097003,2021-07-05 08:30:11,2021-07-05 08:30:11,INR,1.000000000,2.37E7,1920545000000097337,true,700000.0,0.0,0.0,1809061.7902815558,2899434.0,12.2,3.0764949790281557E7,2021-07-27 12:23:17,11,122
zcrm_1920545000039246003,2021,3,Q3-2021,zcrm_1920545000003466001,0.0,0.0,2021-07-01,2021-09-30,zcrm_1920545000000097003,zcrm_1920545000000097003,2021-07-05 08:30:11,2021-07-05 08:30:11,INR,1.000000000,8750000.0,1920545000001666003,true,8750000.0,606643.0,6.9,1.19184E7,606643.0,6.9,1.19184E7,2021-07-27 12:23:17,3,47
zcrm_1920545000039246005,2021,3,Q3-2021,zcrm_1920545000003466001,0.0,0.0,2021-07-01,2021-09-30,zcrm_1920545000000097003,zcrm_1920545000000097003,2021-07-05 08:30:11,2021-07-05 08:30:11,INR,1.000000000,0.0,1920545000001666003,false,0.0,0.0,0.0,0.0,271786.0,0.0,1.10734E7,2021-07-27 12:23:17,2,39
zcrm_1920545000039246007,2021,3,Q3-2021,zcrm_1920545000011182001,0.0,0.0,2021-07-01,2021-09-30,zcrm_1920545000000097003,zcrm_1920545000000097003,2021-07-05 08:30:11,2021-07-05 08:30:11,INR,1.000000000,,1920545000001666003,false,0.0,0.0,0.0,0.0,334857.0,0.0,707000.0,2021-07-27 12:23:17,1,7
zcrm_1920545000039246009,2021,3,Q3-2021,zcrm_1920545000000097003,0.0,0.0,2021-07-01,2021-09-30,zcrm_1920545000000097003,zcrm_1920545000000097003,2021-07-05 08:30:11,2021-07-05 08:30:11,INR,1.000000000,4750000.0,1920545000001666011,true,4750000.0,736520.0,15.5,5706788.0,736520.0,15.5,5706788.0,2021-07-27 12:23:17,2,18
zcrm_1920545000039246011,2021,3,Q3-2021,zcrm_1920545000000097003,0.0,0.0,2021-07-01,2021-09-30,zcrm_1920545000000097003,zcrm_1920545000000097003,2021-07-05 08:30:11,2021-07-05 08:30:11,INR,1.000000000,0.0,1920545000001666011,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-07-27 12:23:17,0,0
zcrm_1920545000039246013,2021,3,Q3-2021,zcrm_1920545000001530001,0.0,0.0,2021-07-01,2021-09-30,zcrm_1920545000000097003,zcrm_1920545000000097003,2021-07-05 08:30:11,2021-07-05 08:30:11,INR,1.000000000,,1920545000001666011,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-07-27 12:23:17,0,0
zcrm_1920545000039246015,2021,3,Q3-2021,zcrm_1920545000011122001,0.0,0.0,2021-07-01,2021-09-30,zcrm_1920545000000097003,zcrm_1920545000000097003,2021-07-05 08:30:11,2021-07-05 08:30:11,INR,1.000000000,,1920545000001666011,false,0.0,0.0,0.0,0.0,0.0,0.0,94000.0,2021-07-27 12:23:17,0,1
zcrm_1920545000039246017,2021,3,Q3-2021,zcrm_1920545000000097003,0.0,0.0,2021-07-01,2021-09-30,zcrm_1920545000000097003,zcrm_1920545000000097003,2021-07-05 08:30:11,2021-07-05 08:30:11,INR,1.000000000,1750000.0,1920545000002567031,true,1750000.0,86150.0,4.9,2276600.0,86150.0,4.9,2276600.0,2021-07-27 12:23:17,1,11
zcrm_1920545000039246019,2021,3,Q3-2021,zcrm_1920545000000097003,0.0,0.0,2021-07-01,2021-09-30,zcrm_1920545000000097003,zcrm_1920545000000097003,2021-07-05 08:30:11,2021-07-05 08:30:11,INR,1.000000000,0.0,1920545000002567031,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-07-27 12:23:17,0,0
zcrm_1920545000039246021,2021,3,Q3-2021,zcrm_1920545000012077001,0.0,0.0,2021-07-01,2021-09-30,zcrm_1920545000000097003,zcrm_1920545000000097003,2021-07-05 08:30:11,2021-07-05 08:30:11,INR,1.000000000,,1920545000002567031,false,0.0,0.0,0.0,0.0,0.0,0.0,1749800.0,2021-07-27 12:23:17,0,9
zcrm_1920545000039246023,2021,3,Q3-2021,zcrm_1920545000001670001,0.0,0.0,2021-07-01,2021-09-30,zcrm_1920545000000097003,zcrm_1920545000000097003,2021-07-05 08:30:11,2021-07-05 08:30:11,INR,1.000000000,4750000.0,1920545000011572075,true,4750000.0,586251.0,12.3,6037700.0,586251.0,12.3,6037700.0,2021-07-27 12:23:17,2,28
zcrm_1920545000039246025,2021,3,Q3-2021,zcrm_1920545000000097003,0.0,0.0,2021-07-01,2021-09-30,zcrm_1920545000000097003,zcrm_1920545000000097003,2021-07-05 08:30:11,2021-07-05 08:30:11,INR,1.000000000,,1920545000011572075,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-07-27 12:23:17,0,0
zcrm_1920545000039246027,2021,3,Q3-2021,zcrm_1920545000001670001,0.0,0.0,2021-07-01,2021-09-30,zcrm_1920545000000097003,zcrm_1920545000000097003,2021-07-05 08:30:11,2021-07-05 08:30:11,INR,1.000000000,0.0,1920545000011572075,false,0.0,0.0,0.0,0.0,196429.0,0.0,4173700.0,2021-07-27 12:23:17,1,13
zcrm_1920545000039246029,2021,3,Q3-2021,zcrm_1920545000001530001,0.0,0.0,2021-07-01,2021-09-30,zcrm_1920545000000097003,zcrm_1920545000000097003,2021-07-05 08:30:11,2021-07-05 08:30:11,INR,1.000000000,3000000.0,1920545000022219003,true,3000000.0,883870.0,29.5,3016400.0,883870.0,29.5,3016400.0,2021-07-27 12:23:17,3,15
zcrm_1920545000039246031,2021,3,Q3-2021,zcrm_1920545000001530001,0.0,0.0,2021-07-01,2021-09-30,zcrm_1920545000000097003,zcrm_1920545000000097003,2021-07-05 08:30:11,2021-07-05 08:30:11,INR,1.000000000,0.0,1920545000022219003,false,0.0,0.0,0.0,0.0,883870.0,0.0,3016400.0,2021-07-27 12:23:17,3,15
