Record Id,Product Owner ID,Product Name,Product Code,Vendor ID,Product Active,Manufacturer,Product Category,Sales Start Date,Sales End Date,Support Start Date,Support End Date,Created by ID,Modified by ID,Created Time,Modified Time,Unit Price,Commission Rate,Tax,Usage Unit,Qty Ordered,Quantity in Stock,Reorder Level,Handler Id,Quantity in Demand,Description,Taxable,Currency,Exchange Rate,Layout ID,Tag,Product Image,User Modified Time,System Related Activity Time,User Related Activity Time,System Modified Time
zcrm_1920545000006882694,zcrm_1920545000000097003,Stand Low Plate Body L 230/430,,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2018-05-17 06:23:51,1400.0,0.0,,Each,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,2018-05-17 05:23:51
zcrm_1920545000006882695,zcrm_1920545000000097003,Stand Low Plate Body R 230/430,,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2018-05-17 06:23:51,1400.0,0.0,,Each,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,2018-05-17 05:23:51
zcrm_1920545000006882696,zcrm_1920545000000097003,Stand Low Plate Fix Guide 230/430,,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2018-05-17 06:23:51,900.0,0.0,,Each,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,2018-05-17 05:23:51
zcrm_1920545000006882697,zcrm_1920545000000097003,Stand Low Plate Main 230/430,,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2018-05-17 06:23:51,630045.0,0.0,,Each,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,2018-05-17 05:23:51
zcrm_1920545000006882698,zcrm_1920545000000097003,Stand Top Plate Main L 230/430,,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2018-05-22 17:15:40,900.0,0.0,,Each,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,2018-05-22 16:15:40
zcrm_1920545000006882699,zcrm_1920545000000097003,Stand Top Plate Main R 230/430,,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2018-05-22 17:15:40,900.0,0.0,,Each,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,2018-05-22 16:15:40
zcrm_1920545000006882700,zcrm_1920545000000097003,Switch 570/520/220/BSM330/340/J10(UL),,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2018-05-22 17:15:40,300.0,0.0,,Each,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,2018-05-22 16:15:40
zcrm_1920545000006882701,zcrm_1920545000000097003,T-D101S Toner Cartridge for Samsung ML2161,,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2018-05-08 12:45:38,1000.0,0.0,,Each,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,
zcrm_1920545000006882702,zcrm_1920545000000097003,TP100 (IB270),,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2019-11-11 22:24:22,20000.0,0.0,,Each,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,2019-11-11 22:24:22
zcrm_1920545000006882703,zcrm_1920545000000097003,USB Hard Lock HASP_120,,,true,,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,2018-05-08 12:45:38,2019-11-11 22:24:22,14500.0,0.0,,Each,0.0,0.0,0.0,,0.0,,true,INR,1.000000000,,,,,,,2019-11-11 22:24:22
